userName,content,score,at
fun with Anushka,A very much nice app and time pass app Download kare aj ye app Download 🙏🙏,5,2025-04-11 03:38:21
Jyoti Yogeshsharma,I have no words for this 🎮🎮🎮🎮🎮🎮🎮🎮,5,2025-04-11 03:27:12
Nirmala Shrestha,op game,5,2025-04-11 03:22:58
Sapna Negi,My mother has deleted the all games in a plane for me to 😢😭😭😭😭😭😢,5,2025-04-11 03:06:53
Jebin Jerin,super game,5,2025-04-11 02:55:04
Manaswini Kumbhar,This very good Game,5,2025-04-11 02:55:01
Funny Gaming Machan,Super🎉,5,2025-04-11 02:39:18
Waseem butt,"I have been playing this game for long period, earned and achieved much more characters and destination but yesterday I was update the game but after updating in my profile only 2 destination show instead of 24. I was completed 24 destination before game updation. What happened with the game and what I do for restore them?",3,2025-04-11 02:19:14
G_i_r_i_ த_r_a_n,stress buster,5,2025-04-11 02:16:57
Muhammad Ibrahim,Best Game,5,2025-04-11 02:09:13
Harini,it's awesome 😎,4,2025-04-11 02:00:41
Denver Villacote,fun game 🔥🔥🔥🔥🫡🫡🫡🫡🔥🔥,5,2025-04-11 01:39:27
Joseph McCabe,"I love those game so much! so many cool features, and easy to use.",5,2025-04-11 01:38:11
Genzeb Beshi,it was the best experience ever epic,5,2025-04-11 00:57:43
James Mendoza,best game ever,5,2025-04-11 00:07:57
Nin Ya,the best running game ever,5,2025-04-10 23:40:20
Jayden Ryan,I'm Loven It,5,2025-04-10 23:37:42
Tony Harper's,best game,5,2025-04-10 23:09:19
Isaac Din,Good graphics best game on the app store i play this every day,5,2025-04-10 23:05:32
Kisha Sivils,I like 2 klock in and grind,4,2025-04-10 23:02:35
R. Mert Selen,"With the latest update, destinations got stuck to 1/79 while it was above 30 for me. I checked the file size, and it shouldn't be the problem. The game can't read and modify destinations information. Please fix that bug.",4,2025-04-10 22:48:22
Betty Nelson,great,5,2025-04-10 22:25:48
Taller DosMares,esta may cool solo que tiene muchos anuncios,2,2025-04-10 22:11:53
Olivia Oni,i love the game its so addictive,5,2025-04-10 22:09:30
Alphanso s. Dahn jr.,"the game is very good, but how can I remove ads from some of the coins",5,2025-04-10 21:50:20
Bukola Rahmat,I'm loving Easter:),4,2025-04-10 21:49:44
Kaaka Wazir,Top speed 🥰🥰🥰,5,2025-04-10 21:06:39
Mr Brand,world best game,5,2025-04-10 20:54:00
Paballo Maake,"SYBO😫I love this game more than any other game on my phone but you guys have to fix the issue of us having to log in on other phones and start the whole thing over again 😭😭 I've restarted my progress like 7 times in the past 1½years💔 I'd appreciate losing another phone and not having to start the game over again,last season I had a max score multiplier of 42× and now I'm at 10×🫩 really in distress",4,2025-04-10 20:46:30
Hamoude Derbas,very good,5,2025-04-10 20:03:44
Jacob Margret,the game is good and awesome 👍 to play but why is there no save me while there's is key make it awful 😞 you guys should fix it pls,1,2025-04-10 20:02:32
kusum sharma,amazing game,5,2025-04-10 19:58:24
SURE BANKS,good,5,2025-04-10 19:50:52
Navida Akhtar,i love it i watched the videos about subwaysurfers i love it alot,5,2025-04-10 19:39:55
Aditi Kantharia,it has been so nice..,5,2025-04-10 19:27:02
SHAKEELA JAFAR,Just awesome game!💆🏻‍♀️,4,2025-04-10 19:26:22
Oreoluwa Adekola,I have been playing this game since I was a child and I really love it.,5,2025-04-10 19:25:15
Aisha Namuwenge,very good on my side,3,2025-04-10 19:16:47
andy,it is a fun game to play and you don't need WiFi 😁,5,2025-04-10 19:05:37
Aaliyah Ritchie,It's really good for when you go on trips I highly recommend it ❤️,5,2025-04-10 19:04:36
Kai Sullivan,such a good game,5,2025-04-10 19:00:11
Shahid Afghan,this game was the new opdate for the whole game and youtub page subscribers were also given the new version of the game,1,2025-04-10 18:55:17
Azim Bakan,Hello again! 👋 For future updates can we please get Italy culture update? I have been interested at it and I would love to see the culture of subway surfers.,5,2025-04-10 18:50:02
Michael Oduor,it's so amazing my fav game,5,2025-04-10 18:44:20
Lale Kirchhoff,"This game was my childhood, I really love it. The characters, the boards + the effects on both. Im also a big fan of how the maps are designed, very creative. The events are funny and amazing. Just one thing. Really you need to fix this bug. If I wanna do a in-app purchase of only one character it's not working. I click on it and it's stuck in a loading screen nothing changes. The same problem if I wanna buy some currency. It only works if I wanna a bundle. Pls I want this pixel Jake.I cant buy.",4,2025-04-10 18:26:28
JAYANTHAN JAYANTHAN NIRMAL,in my life this one is best game,5,2025-04-10 18:24:16
SHAIK ZUBAIR 01,the game in the world no 1,3,2025-04-10 18:20:35
ROONITH Sathur,nice game 🎮,5,2025-04-10 18:18:18
Hany Hawzhin,Its my childhood and its so fun and the update is so fast and i love quality🌺,5,2025-04-10 18:00:10
Sakthi Kasi,good,5,2025-04-10 17:25:14
Nevaeh Howard,"Been playing this since 2012, still a banger.",5,2025-04-10 17:12:47
M2a Evo,adds are so frastrating nowadays for online players..plz do something about this,5,2025-04-10 17:05:42
Shrusthi Chinnamma,I love this game,4,2025-04-10 17:00:28
Agbo Andrews,I love this game Soo much,5,2025-04-10 16:48:51
محمد حسین,it was goat back then but now.....,3,2025-04-10 16:48:32
DEEPSHI MP,"it's a very good game but sometimes it's hanging,pls check it",5,2025-04-10 16:47:13
Gagan Saini,very good game,5,2025-04-10 16:41:31
Sgr W,when i 5 year i like this game so much,5,2025-04-10 16:37:21
Khondaker Atique,very good game,5,2025-04-10 16:35:11
Kedja Besr,🤭🥰🥰,5,2025-04-10 16:30:27
Shriya Chindarkar,It is a nice game 😁🎯,5,2025-04-10 16:17:02
Dinesh Hirejagner,v v v nice and peaceful game .....🤌🤌👌👌👌,5,2025-04-10 16:06:28
Treyton Rawson,it willy function😀,5,2025-04-10 16:03:53
Lucky Bwalya,this running game. is good I love it amezing game,5,2025-04-10 16:03:41
Jaspher Glenn Panis,great good loving game and it's ofline to id recommend to download this app,5,2025-04-10 16:03:20
احمد مصلح,حلو,5,2025-04-10 15:58:16
Sachin Thori,ek din yahi wapish ana hai 😭🙏🏻,5,2025-04-10 15:57:53
Siddhi Ramani,nice,5,2025-04-10 15:54:37
Nandhini Avunoori,is very good and the world 🌍 best,5,2025-04-10 15:50:20
Denzel La Foucade,so this game is fun I'm gonna give it that although at the start it's a bit slow I would recommend and i have one more thing to say I loveeeee the way you get like you know prizes and score multipliers and also the keys like I love this game and that's the end of my you know description byeee enjoy the rest of your day. love Denzel 💗,4,2025-04-10 15:45:45
Diganta Boruah,I love this game,5,2025-04-10 15:43:38
Adebayo Goodnews,it is a good game graphics are out of this world,5,2025-04-10 15:43:01
Ruma Dhara,This is a great game I mean you can also play it offline,5,2025-04-10 15:38:47
bongi gadlas,Best game ever !,5,2025-04-10 15:29:03
Sugandi Indima,"perfect i love it,very esay to play and this reduce ny stress",1,2025-04-10 15:26:01
fun log,it's such a fun game,4,2025-04-10 15:19:57
Teena Negi,I love this game this game is very hard,1,2025-04-10 15:16:12
Devesh Devesh1 Devesh Devash1,you did 1 coin challenge,5,2025-04-10 15:09:33
KallappA Saidapur,best of all time👍😊,5,2025-04-10 14:57:16
Pratham Kumar Sah,Bring back the reverse challenge subway surfers please 🙏😔,5,2025-04-10 14:50:33
Dewan Mahmuda Mitu,simply amazing. there is nothing special but it is fun,5,2025-04-10 14:47:35
Peter Ndungu,best,5,2025-04-10 14:47:01
Sembian,It is the best offline game ever for me,5,2025-04-10 14:37:06
Snehashis Banik,"I played this game when I was a kid and now I am back again... And for real I liked the game updates, new characters, etc. I am having fun to play this game now again and the memories of this game is striking me again 🥺💖.",5,2025-04-10 14:36:26
Dipesh Parab,please provide horizontal mode.l give 2 star sybo team make this possible easily.another Idea we additionally use 4 track in game as a new way(real life railway track). another Idea-add emotions in trains like fast trains are angry 😡 slow trains 🙂 and many more,1,2025-04-10 14:28:35
SUL _FITH,Ican't update this game ican't see the option for update.please help mee 😫,3,2025-04-10 14:25:18
SidraModh,So amazing game. I like is game,5,2025-04-10 14:22:55
Hitesh Dewasi,timepass ke liye accha hai,5,2025-04-10 13:59:35
Kingsley Abidde,"Always a great experience with subway surfers, especially with my kids",5,2025-04-10 13:55:45
Kashvi N,It so entertaining it is so fun to play and it has all those crazy updates which add extra fun to it I just returned to this game after a long time,5,2025-04-10 13:54:46
Edna Susan Gaboy,it's really good,4,2025-04-10 13:42:53
ChitraVikas Mudgal,best,5,2025-04-10 13:39:18
saud akhtar sundoo,I love this game,5,2025-04-10 13:36:35
Aliyamma Joseph,really fun,3,2025-04-10 13:35:07
Palvi Mishra,👍,5,2025-04-10 13:34:25
Mojassim Ali,so good game and our personality is a2019,5,2025-04-10 13:29:05
Manaaf Khan,nadiya game hai bhai,5,2025-04-10 13:28:55
Rajeev Pradhan,good,5,2025-04-10 13:28:10
Hiam Mais,the game is so pirfect,5,2025-04-10 13:22:30
Main,Best to play in laggy car,5,2025-04-10 13:12:28
Adhiya Biju,this game is the best game I ever playessßss I LOVE IT,5,2025-04-10 12:59:17
Nauman Roy,I love this game,5,2025-04-10 12:41:49
Tanvin,it’s a good game and you are guys ofcourse try it.,3,2025-04-10 12:31:40
Big_Man_Default Gaming,lost all my progress but we'll start again from scratch,5,2025-04-10 12:30:26
Gazi Gora,this app is so good. I have a good experience about this app. this is one of the my favourite running games 🌸✨🎀. love this app. Subway surfers 🎀✨🌸🌟😃,4,2025-04-10 12:27:26
Samarth Phulke,time pass,3,2025-04-10 12:24:01
Adi Laxmi,So good. but the ads are annoying,4,2025-04-10 12:17:57
Akwasi Safo,💯,5,2025-04-10 12:16:08
Akmal Muhammad,I run game to speed character,5,2025-04-10 12:04:35
Aboodali Aihoosen,♥️♥️,5,2025-04-10 12:01:18
Manmeet Bagga,good 🎮 game,5,2025-04-10 11:58:49
Khumo Selei,good job with game process,4,2025-04-10 11:57:28
Kumar santosh Shrivastava,it is a interesting game,5,2025-04-10 11:45:07
Rosni Chapagain,timepass,3,2025-04-10 11:37:32
Sara Mehmood,Ammmazzzzinggggg😘,5,2025-04-10 11:35:04
Ana Souza,I love this game,5,2025-04-10 11:31:29
MANBODH KARMAKAR,nice,5,2025-04-10 11:31:10
Somiya Bajgain,this is the best thing to play. whenever I am with my best friend (prayusha)we play together we get a lot of characters but unfortunately all the characters I don't get because my brother deleted it now I am starting and trying to get all the characters WORLD 🌍 best game,5,2025-04-10 11:21:53
Zain Zain,wow that's awesome 😎,5,2025-04-10 11:17:31
PRESENCE SCREENS,I love to the core,5,2025-04-10 11:16:13
Bindulata Mehta,I just love it 😀 😍 ❤️ 💕 ♥️,5,2025-04-10 11:15:24
Anita Devi,"I played this game as a child many years ago , but today iam playing this game again and I like it's quality, graphics and everything. And no problem is there in this game. It's a good game. THANKS to SYBO Games 😀.",5,2025-04-10 11:00:11
Muhammad Ali,"it's a fun game and it's offline, so you can play it anytime",5,2025-04-10 10:48:55
Celine,wow so good,5,2025-04-10 10:48:14
Enzo Misoles,When even this update in rio 2025 what count surfers and skin i hate this update anymore now this bundle this is skin this is paid!!! coz because its money or keys! Its so insane!!! You make a bundle with surfers and skin only!!! There are no multiple watch ads for bundle no multiple watch ads today!!!! When next update there are no idea!!!,1,2025-04-10 10:45:31
Shamnhelle Fariñas,It's is my favorite game thank u,4,2025-04-10 10:40:54
Jack Sparrow,It brings some nostalgia to me but when I backed up my achievements and levels I saw that my star level is at 5 but when I leave the game my star level was 31 how and why,4,2025-04-10 10:40:33
Sobhana Gowri,The best game in this whole universe.,5,2025-04-10 10:34:10
Abhishek Singh,very very bad grafic,1,2025-04-10 10:23:56
Dhanuja Mol,that's a very very nice gameplay,5,2025-04-10 10:23:34
Jamilrehmanr26,so good game Ameen Allah ap ko khosh sahat mand awr salamat rakhay rozi rozgar may barkat ata frmaay Ameen,5,2025-04-10 10:10:07
Mãyör Goodness,Love it!,5,2025-04-10 09:59:02
MANYA__ 85,nice,5,2025-04-10 09:56:25
Payal Tewatia,it is a best game ever I love this game,5,2025-04-10 09:55:41
Suchita Revnwar,very west game,1,2025-04-10 09:52:11
Samir Tolba,phenomenal.,5,2025-04-10 09:19:22
Fiazan,amazing,4,2025-04-10 09:15:34
Nazleen Inayath,very nice I just love it so far 🤩,5,2025-04-10 09:09:49
Grace Ndunge,good game,4,2025-04-10 09:08:45
Dharmendra Kumar,love the game like best of line games,5,2025-04-10 09:08:35
Mahesh क्ट आरएफटी Yadav,subway surfers game is very good game a,1,2025-04-10 09:08:24
Kani Kani,they are just wow.... l love this game,4,2025-04-10 09:04:07
Bharati Patani,happy game,5,2025-04-10 08:58:48
Madhav Chaudhary,this game very bur 😂,1,2025-04-10 08:58:43
Priyansh Kumar,Best game for passing time,5,2025-04-10 08:58:18
Kipson Willson,full entertainment😎😎😎🎭🎭🎭🎭🎭😎🎭😎🎭😎🎭😎🎭😎 I love❤ the game🎮🎮🎮,5,2025-04-10 08:37:56
Renu Vs,i love it,5,2025-04-10 08:37:41
Sasuke Hidam,The game is very very good but i found that there are lot of cheater in this game making illigal points by hacking .Hope devlopers will fix it,1,2025-04-10 08:36:15
Peroze Ali,It is very good and enjoying able. Game,1,2025-04-10 08:33:32
rekha kanojiya,omg such a iconic game 🎮 love it,5,2025-04-10 08:22:32
Mwala Nthembe,So cool! So exciting! What a game this is. I think it is the best running game ever😎. Any way people like this for one reason. But I can't explain how. People should play this game. Peace😎🇿🇲,2,2025-04-10 08:18:49
Chintan Patel,AMAZING,5,2025-04-10 08:09:29
Jadeja Samratsinh,🤗🤗🤗,5,2025-04-10 08:06:42
Bharati,amazing,5,2025-04-10 07:58:15
ekam ekam,good,1,2025-04-10 07:57:13
Rinki,this is best,5,2025-04-10 07:57:06
Roshan Yadav,poor,4,2025-04-10 07:49:33
The ankit Jha,very good,5,2025-04-10 07:44:27
Skibidi Toilet,these people ripped me off. I purchased stuff and they didn't give it to me and won't return my money even though I have all documents,1,2025-04-10 07:36:56
Sushma k pawar,I downloaded at 2009 and now also it is interesting game of my life. I think all should play this game Thank you the team of subway surfers and one who invented it I am very curious of the future updates,5,2025-04-10 07:33:59
MD Habibur Rohman,good app,5,2025-04-10 07:25:59
Quinton Trevor,"This game is soo good, you can play with or without network issues. The game is more enjoyable",5,2025-04-10 07:18:48
Dikmala Rai,it's the best game I have ever played,3,2025-04-10 07:03:28
Kishor Mishra,i really loved that game 🪷✨🤍,5,2025-04-10 06:56:19
Daluji choudhary,best game,5,2025-04-10 06:39:36
Fast Here,mhm my childhood game,5,2025-04-10 06:37:57
Rick Marval,I love this game soo much,5,2025-04-10 06:24:19
Geetanjali,I like this game but sometimes the game gets too bugs like I just cross the bronze legue and leave the game when I come back I was in bronze legue again and my score gets low everytime,2,2025-04-10 06:19:16
Yogita Kumari,my favorite game is this I played it since my childhood I can't believe that I played it till of my 20s I love this too much new items and specially graphics I love that and plz add new new things so we can enjoy this more....,4,2025-04-10 05:59:09
Subham Das,these is good and all but when I purched points from the store I did not got my purchase on the other hand it took the money I paid 😭 these game is a scam it took the money without giving me the purchased product 😠😠,1,2025-04-10 05:58:29
Munees Konar,very nicely,5,2025-04-10 05:47:49
Akshay Prakash,📈,5,2025-04-10 05:44:22
Ebube Ejindu,"I love it so much, this is the best subway surf ever 😁",5,2025-04-10 05:43:22
MKH,bad perfotmance,3,2025-04-10 05:43:05
Prince Obana,I love your game,5,2025-04-10 05:36:26
Narendra Kumar Bhardwaj,this game good,5,2025-04-10 05:18:31
Armaan Khan,this game is so much fun and have exclusive skins,5,2025-04-10 05:04:32
manilal Pandit,This is best game 🎯🎯🎯🎯🎯🎯🎯🎯 and i am play many times of day,5,2025-04-10 05:02:57
Md Afrid pasha,best game forever ♾️ hh,5,2025-04-10 05:00:51
jancy sekar,nice,4,2025-04-10 04:52:04
Narendra Meena,amezing,5,2025-04-10 04:50:16
Dihali,this game is soo fun to play . Whenever I'm bored l play this,5,2025-04-10 04:43:48
Ranganathan Venkatachalam,super excellent 👌👍👌👍👌👍👌👌👍👌👌👍👌👌👍👌👌👍👌👌👍👍👌👍👍👌👌👍,5,2025-04-10 04:43:19
SS Giri,good,5,2025-04-10 04:43:07
Sandipan Biswas,good game to refresh our mind,4,2025-04-10 04:33:22
Juna Adhikari,👍️,5,2025-04-10 04:24:40
Sanghmitra,"this game can be played by anyone,anywhere and anytime",5,2025-04-10 04:23:53
Shikha garg,very best game ever,5,2025-04-10 04:23:31
Matilda Muka,Ppl who played this game since 2018👇,4,2025-04-10 04:23:11
Anu Bhardwaj,wonderful and timepass game,5,2025-04-10 04:13:18
Shashikala Yadav,so good game i love this game,5,2025-04-10 03:59:57
Cornelio Linares,cool game and it fu,5,2025-04-10 03:50:53
Megha Game,Very nice game 👍👌,5,2025-04-10 03:47:50
A Google user,its really fun and its a nice gane to play in a car ride or when ur just bored,5,2025-04-10 03:43:26
Urijah,fun game,5,2025-04-10 03:43:20
Ritwik Raj,it is very good game l like this game,5,2025-04-10 03:27:14
Melanie Jones,It is a good game,4,2025-04-10 03:26:01
Nazreen Navas,entertainment is amazing 😍😍😍😍,5,2025-04-10 03:12:58
peetam meena,This game is cool and I really like this Subways surfers is best game,5,2025-04-10 03:01:23
Gurpreet Singh,It is excellent 👌 game I really like it,5,2025-04-10 02:50:28
A Google user,Very good I like this game because its like a time pass and relaxing game and has many new year events and also has a new feature for editing our favourite background music according to our choice,5,2025-04-10 02:50:25
Jake Mouser,showed me a 18+ ad,1,2025-04-10 02:25:22
Emma Donnelly,love it,5,2025-04-10 02:04:41
Suman Devi,sweet game.,5,2025-04-10 01:54:46
Dinesh goud Palsam,I love this game,5,2025-04-10 01:51:08
AKSH MIHIR Gaming,in this game my stress will dead .....,5,2025-04-10 01:30:33
Lukbahadur Thapa,I play this game too much it is very good and fun😆,5,2025-04-10 01:03:44
Heavy_Logic,Can't get old progress. Game ruined by monetization.,1,2025-04-10 01:01:07
Numbnuts Yes,"good casual game,its easy to get in to and very addictive but doesn't have alot of story,and lacks depth,it is really fun and can be competitive,the updates add new features the go away which means its always fresh and not repetitive",4,2025-04-10 00:55:15
Joshua Mthembu,It's a good game,3,2025-04-10 00:51:40
Nipen Das,I like,5,2025-04-10 00:47:16
Malone Capone,"Lost my characters, boards and progress. Same account but all my things are gone.",1,2025-04-10 00:22:21
mijen andrea mahusay,its so good to playing!!🤍✨🫶🏻,5,2025-04-10 00:21:17
Mazhar Fareed,to much unwanted ads. even if you don't click on anything it shows you ads.,1,2025-04-10 00:20:43
Deepika,I love this game I'm rating this game 100/100.,5,2025-04-10 00:14:54
Bro Bro,bring back the New York update and also reach 5 billion downloads Subway surfer collab with BTS music singers bring Future juck and more China Subway surfer characters to the game update the game sooner but still get people time to get everything and make a Subway surfer movie and bring season 2 of the subway surfers series season 3 of the subway surfers series in season 4 of the subway surfers series and make a Subway surfer vr game,5,2025-04-10 00:02:47
Fakhra Aqeel,"it's the best game! it needs no wi-fi or has any annoying ads! there are a lot of things in it like seasons, events, collecting coins, keys, characters,their outfits, boards! it is a very fun game 5/5 for me",5,2025-04-09 23:56:52
George Lee,Ads completely ruin it. Ill spend hours trying to get a high score only for an ad to take me to the play store and subway surfers decides to completely restart and get rid of all my progress. Doesn't even save the score.,2,2025-04-09 23:50:46
siyamthanda mangethe,👌,5,2025-04-09 23:37:10
Bhavesh Valsarajan,I love it. period.,5,2025-04-09 23:15:51
Kyla Torregosa,This is my childhood game,5,2025-04-09 23:13:35
Iyla Chantal,"good, I like how you can see scores, and there's really no need. I just use it to have fun and be running, thinking you actually know what you're doing. I just wish the animation on the people changed when they get caught, but it doesn't bother me much.",5,2025-04-09 23:12:49
Yo mama,this sucks,1,2025-04-09 22:47:46
J Smart,Subway Surfers is the best you can do anything game like that you can only don't need to use the team some more pictures I like the new update too it and you don't need to use the key you don't need me to do it and that's why I brought this game anyone who plays this game the best game ever food isn't like something was wrong this game is so 👍,5,2025-04-09 22:18:19
Merryana Rose,it's fun you don't need Internet it's kid appropriate and fits all ages,5,2025-04-09 22:05:59
Jane Haddad,Very entertaining game,4,2025-04-09 21:42:58
Darielys Feliciano,super interesting,5,2025-04-09 21:24:45
Innocent Nwosu,lovely,5,2025-04-09 21:20:24
Dinara Abela,so sweet.I'm just speechless,5,2025-04-09 21:11:41
Nancy Waigwa,fantastic,5,2025-04-09 21:10:52
Judy Mahmoud,It's nice exciting and annoying at the same time!!!😤,5,2025-04-09 21:06:48
PRINCE YADUVANSHI,good game,2,2025-04-09 21:06:06
Corey Gilbert,to play the Subway Surfers,1,2025-04-09 20:45:31
Taofik Olanike,it's nice 👍 and fun lovely game I love it💯✅👍👍👍👍👍👍👍👍👍👍👍👍👍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️✅💯,5,2025-04-09 20:23:46
Mohd Anas,👍🏻😃😃,4,2025-04-09 19:46:48
Samuel Etukudo,I really love playing this game went am less busy,5,2025-04-09 19:45:26
Musu Sesay,❤,5,2025-04-09 19:44:08
shaqueel qureshi,best game,5,2025-04-09 19:25:38
Patricia Orange,it's allot of fun,5,2025-04-09 19:12:52
Abaan Khan,i love this game 🎮 ❤️,5,2025-04-09 18:59:00
Rodriquez Swink,I love it,5,2025-04-09 18:53:30
Zintle Nazo,❤️,5,2025-04-09 18:50:28
Atheethan Rbk,damn gud,5,2025-04-09 18:40:55
Naledi Keswa,"My experience has been great, my only problem has to be the glitching",4,2025-04-09 18:34:53
Harz Tronics,Just downloaded it and started playing the tutorial there's a little bug(the phone lagged in the tutorial) and I got moved back(or something) but the world randomly stopped rendering(sorry for my bad English I am not English),3,2025-04-09 18:34:33
Vishvash,nice game,5,2025-04-09 18:33:34
Z.A. Bha,I love this game I am playing it since my childhood and still love it.,5,2025-04-09 18:21:20
{MOCHI-MALLOW},I love it it's offline to u cloect cones and keys and buy stuff with it,5,2025-04-09 18:18:31
obaid Raza,its worlds most best game love you,2,2025-04-09 18:01:23
Siya,like it,4,2025-04-09 17:41:16
Zoya Zoya khan,Its Good😘✨,1,2025-04-09 17:40:21
MANU__ YT,Subway surfers was just awesome. Do some anime collaboration its my request,5,2025-04-09 17:35:31
Christopher Khan,great playing subway surfers.,5,2025-04-09 17:14:20
Huzaifa Zain,wowwwwwwww,5,2025-04-09 17:13:40
Saif Masadeh,best game currently and this game is my childhood!!!,5,2025-04-09 17:05:47
Rhema Etinosa,it's fun and nice,3,2025-04-09 16:56:43
Half Night,plz koi achi setting kren jis se game play store se hi easily update ho jaya kre plz,1,2025-04-09 16:48:17
Santhoshi Devi,nice game but not end,4,2025-04-09 16:47:50
Monalisa Dey,Very nice 👌,5,2025-04-09 16:44:24
Muhammad Hassan,I Am Very Trying To end this game but failed This Game is Endless And this sounds is very cool This game is GOOD 😊,5,2025-04-09 16:34:17
Mr Yasin,that's nice game remember all this game is one of best games to Reinforcement of the reaction 🥇🥇,5,2025-04-09 16:33:32
Harish Biddu,good game,3,2025-04-09 16:01:42
Mahbub Rahman,good,4,2025-04-09 15:50:02
Mariam Bassem,this game is so good 👍🏻👍🏻,5,2025-04-09 15:44:38
Apu Das,verry good game,5,2025-04-09 15:42:02
avaya rout,noice 👌,5,2025-04-09 15:36:19
Josephine Olatunbosun,I 💗the game because it is so fast and there are so many boards you can buy or get,5,2025-04-09 15:34:03
Shafna,i love this game 😍😍,5,2025-04-09 15:32:43
ron ro,"this game is fun when you play offline, but when you play online it's too many ads, really annoyed.",1,2025-04-09 15:11:36
Champa Mondal,I am very happy to play this game,5,2025-04-09 15:10:48
kazi hasip,This is runner game in tha world and this is very interesting game 🥰🥰🥰,5,2025-04-09 15:09:55
Zainab Albaboor,тнιѕ ꀤꑄ 𝗍𝗁𝖾 ᵐᵒˢᵗ ᵇᵉᵃᵘᵗᶦᶠᵘˡ ɢᴀᴍᴇ ᎶᎽᎯᎿᎿᎿᎿᎿ𝕥,5,2025-04-09 14:58:31
Dineo Salome,☠️,1,2025-04-09 14:52:18
Nikhil Seth,verry nice game,5,2025-04-09 14:44:42
Oweh Doris,nice,5,2025-04-09 14:43:07
Khushi Lalwani,very good game,5,2025-04-09 14:28:33
Gloria Ayodele,"Since I was very young I've been playing this game so came back again to it, it's still as amazing as before, but my problem is that after two days of not playing the game, came back to it today only to see that all has been cleared, all the characters, boards, scores everything and I'm back to been trained how to play the game with one player and one board and I'm like what's going on, so apart from that the game is still very nice",4,2025-04-09 14:17:23
Noor Ali,it is a fabulous app and it can easily download and very fastly download any game or any app,5,2025-04-09 14:11:29
Vije Sri,Superb game,5,2025-04-09 13:59:47
Mubara Ashiq,🤩,5,2025-04-09 13:57:45
Waleed Tech,best game ever i had Play,5,2025-04-09 13:56:57
Priti Singh,this game is op,4,2025-04-09 13:41:03
Ajith Kumara,good,5,2025-04-09 13:40:47
Ali Mifthaahu,it's so cool amazing subway station more characters I very like the game,5,2025-04-09 13:37:33
Jisan Ansari,"very nice game but needs to improve a lot better this game is so much fun but could be better in taking new events,events are just repeated but very nice game",4,2025-04-09 13:36:30
Logesh Chithra,"Iam really enjoying this game 🎮🎮 subway surfers has really enjoying factors like new events, challenges, characters, and new updated places.It has also very good graphics sound effects and music the lava floor challenge is the best event in this game. Whoever plays this game will enjoy it. The way it's getting faster when the score increased is very cool and difficult so I can be more concentrated to get high score,But I can't do purchase can you'll say how to purchase the bundle offers ?",5,2025-04-09 13:36:11
Satyapraksh Prajapati,God game,5,2025-04-09 13:23:31
yassir m,worst game ever,1,2025-04-09 13:21:50
Brianna Reynosa,awesome it's nostalgic,5,2025-04-09 13:15:17
Sonny Corrigan,easy to get the hang off and you can play anytime anywhere I went to Germany and played it on the flight all the way,5,2025-04-09 13:14:09
Mahamad Fares,awesome,5,2025-04-09 13:14:02
Beena Singh,Nice game,5,2025-04-09 13:06:59
Romeo david Cabreros,this game is so awesome this game is still very good to play I would play this everyday when I was like six or seven,5,2025-04-09 12:53:51
Subir Sandilya,this is very good game 🎮,5,2025-04-09 12:50:30
Purple,good distraction,4,2025-04-09 12:47:59
Salman Banto,I was playing this game when I was 6 years old now I'm 15 now it's 2025 and still it's really good to play. I quit playing this game when im 12 years old because of really long update then I start to get bored and leave this game. and then I'm starting to miss this game. again....,5,2025-04-09 12:45:30
patrick lukio,"it's not that bad but I like it so much,,❤️❤️❤️ this game is the best",4,2025-04-09 12:44:58
Vinayaka rao Dwarakanath,it is good and timepass for kids and adults can play this game i love it,4,2025-04-09 12:43:35
Ibrahim Said,I love it,5,2025-04-09 12:42:25
Luiz jervin Rivera,"this is my childhood game,love it!",5,2025-04-09 12:33:36
Bala,I play this game in my old mobile this is really good now event are so good I love this game❤❤🧡🧡💛💛💚💚💙💙💜💜🤎🤎🖤🖤🤍🤍,5,2025-04-09 12:17:34
Shahul Hameed Badusha,one of my favourite game is subway surfers,5,2025-04-09 12:11:15
A Google user,good game,5,2025-04-09 12:08:26
Al Baloshi,"I have been playing this game since I was a child. Now I am in my 30s, but still love to play this game. This is not only a game but also a tool that connects me to my childhood.",5,2025-04-09 12:04:55
ALICE MWANGI,its fun,5,2025-04-09 11:59:35
Layan Elleithy,"I love this game so much and I have never experienced any problems with it, but I would like it if you add more places, not just events that end like for example underwater",5,2025-04-09 11:58:22
Andrew,the changing seasons eliminates monotony.Good job!!,5,2025-04-09 11:35:56
Pyari Chaudhary,nice game 🎯🎮,5,2025-04-09 11:34:50
Jeeva R,lots of ads. please don't install.,1,2025-04-09 11:29:48
Infinix,it's fun,4,2025-04-09 11:27:14
Praveen Sonone,best game 😭😭 when I was a kid I play this game really nice 💕💕,5,2025-04-09 11:13:39
Navdeep Singh,very good,5,2025-04-09 11:12:13
Shesadev Rout,it is a good game,5,2025-04-09 11:07:48
Shiv pujan Singh,the so easy game but anywhere when I lost it I SO angry,5,2025-04-09 11:06:29
Lila Anderson,I love this 🎮game,5,2025-04-09 11:04:56
Geethakrishna Gk,please make more special,3,2025-04-09 11:00:29
